name	age	gender	salary
u0	42	female	932
u1	5	male	124
u2	23	female	336
u3	13	male	474
u4	49	female	457
u5	14	male	859
u6	35	male	394
u7	33	male	567
u8	5	male	698
u9	31	female	144
u10	37	female	632
u11	16	female	430
u12	1	male	700
u13	25	female	436
u14	43	male	215
u15	19	female	948
u16	5	female	482
u17	50	male	403
u18	17	male	430
u19	37	male	622
u20	47	female	92
u21	22	male	769
u22	42	female	983
u23	3	female	418
u24	10	male	874
u25	5	female	251
u26	23	female	962
u27	43	male	989
u28	43	female	96
u29	23	male	488
u30	14	male	4
u31	8	female	950
u32	27	male	562
u33	44	male	374
u34	42	female	633
u35	36	male	964
u36	49	female	858
u37	33	male	207
u38	4	female	22
u39	2	male	110
u40	17	female	638
u41	33	male	310
u42	0	female	504
u43	48	female	764
u44	26	male	62
u45	15	male	22
u46	21	male	877
u47	48	male	165
u48	13	female	411
u49	10	male	273
u50	37	female	680
u51	39	female	325
u52	48	male	640
u53	18	male	283
u54	14	male	622
u55	21	female	209
u56	30	male	53
u57	39	male	479
u58	31	male	253
u59	50	female	732
u60	22	female	859
u61	14	male	347
u62	43	female	951
u63	50	female	935
u64	23	female	272
u65	2	female	500
u66	8	male	108
u67	39	male	927
u68	12	female	677
u69	10	male	752
u70	48	female	565
u71	46	male	208
u72	43	female	473
u73	34	male	231
u74	34	female	745
u75	48	male	583
u76	7	male	84
u77	49	female	522
u78	29	male	739
u79	7	female	881
u80	14	female	419
u81	2	male	242
u82	21	male	305
u83	16	male	38
u84	7	male	301
u85	4	male	686
u86	16	male	851
u87	3	male	309
u88	6	female	389
u89	17	male	795
u90	48	male	689
u91	45	male	36
u92	21	male	176
u93	38	female	461
u94	20	male	541
u95	11	male	176
u96	9	female	878
u97	19	female	284
u98	38	male	905
u99	12	female	294
u100	12	female	522
u101	47	female	62
u102	42	male	785
u103	43	male	979
u104	35	male	443
u105	13	male	725
u106	47	female	992
u107	12	male	354
u108	33	male	96
u109	40	female	377
u110	11	male	749
u111	41	male	505
u112	34	male	541
u113	2	male	502
u114	11	male	530
u115	16	female	340
u116	22	female	547
u117	34	female	680
u118	15	male	602
u119	15	male	674
u120	9	female	218
u121	42	male	972
u122	2	female	296
u123	25	male	605
u124	10	female	161
u125	41	male	872
u126	24	male	139
u127	47	male	491
u128	14	male	18
u129	40	female	514
u130	0	male	66
u131	49	female	354
u132	37	male	719
u133	36	male	794
u134	14	female	529
u135	9	male	387
u136	16	male	83
u137	50	male	106
u138	24	male	878
u139	18	male	36
u140	30	male	278
u141	4	female	231
u142	43	male	0
u143	30	male	305
u144	22	female	886
u145	11	male	496
u146	20	male	796
u147	2	male	835
u148	40	female	193
u149	30	male	543
u150	32	male	450
u151	27	male	522
u152	47	male	50
u153	13	female	857
u154	26	male	808
u155	0	male	850
u156	21	male	496
u157	28	male	549
u158	14	female	714
u159	38	female	164
u160	48	male	618
u161	29	male	125
u162	46	female	243
u163	26	male	76
u164	44	male	111
u165	45	female	975
u166	47	male	926
u167	10	female	406
u168	46	male	779
u169	20	male	589
u170	29	male	338
u171	27	male	83
u172	29	female	853
u173	39	male	929
u174	7	male	559
u175	25	female	241
u176	9	male	609
u177	6	male	32
u178	35	female	488
u179	32	male	100
u180	31	male	186
u181	37	male	858
u182	2	female	59
u183	17	female	673
u184	42	male	249
u185	19	female	676
u186	8	male	364
u187	30	female	761
u188	25	male	420
u189	33	male	523
u190	25	male	712
u191	50	male	476
u192	13	male	1000
u193	30	female	6
u194	46	male	51
u195	9	male	978
u196	29	male	63
u197	39	male	90
u198	1	male	527
u199	0	male	180
u200	31	male	955
u201	49	male	688
u202	34	female	789
u203	38	female	325
u204	41	male	352
u205	20	male	366
u206	33	male	986
u207	26	male	299
u208	20	female	767
u209	4	male	90
u210	32	male	372
u211	25	male	724
u212	25	female	375
u213	13	male	78
u214	18	male	258
u215	2	male	105
u216	1	male	111
u217	9	female	616
u218	8	male	303
u219	45	male	435
u220	29	male	684
u221	27	male	543
u222	5	female	235
u223	11	male	185
u224	49	male	490
u225	9	female	115
u226	27	male	793
u227	46	female	688
u228	44	male	934
u229	44	male	231
u230	43	male	558
u231	32	female	664
u232	21	female	142
u233	12	male	392
u234	34	male	144
u235	5	male	955
u236	13	male	957
u237	25	male	505
u238	8	male	815
u239	39	female	646
u240	21	female	519
u241	13	female	576
u242	7	male	917
u243	35	female	481
u244	25	male	969
u245	27	male	19
u246	28	male	391
u247	22	male	361
u248	5	male	139
u249	26	male	425
u250	18	male	142
u251	21	female	132
u252	1	male	608
u253	26	male	838
u254	14	male	198
u255	7	male	569
u256	16	female	5
u257	15	male	604
u258	11	female	403
u259	18	female	759
u260	10	female	260
u261	44	female	120
u262	19	female	285
u263	40	male	151
u264	0	male	768
u265	19	male	517
u266	48	male	668
u267	35	female	178
u268	14	male	140
u269	28	female	618
u270	0	male	619
u271	11	male	951
u272	26	male	79
u273	46	female	935
u274	21	male	154
u275	43	male	36
u276	46	male	870
u277	36	male	454
u278	1	male	855
u279	37	male	807
u280	14	male	88
u281	50	male	317
u282	37	female	824
u283	41	female	235
u284	0	female	55
u285	27	male	263
u286	9	female	117
u287	4	male	55
u288	5	male	777
u289	9	male	942
u290	30	male	138
u291	31	male	914
u292	48	female	767
u293	22	male	269
u294	6	male	92
u295	2	female	625
u296	40	male	185
u297	19	female	518
u298	23	female	898
u299	7	female	383
u300	18	female	790
u301	29	male	882
u302	45	male	253
u303	42	female	438
u304	32	male	968
u305	20	female	295
u306	6	male	527
u307	5	male	480
u308	3	male	209
u309	40	female	51
u310	18	male	978
u311	3	female	766
u312	18	male	771
u313	9	male	848
u314	2	male	939
u315	36	female	721
u316	18	male	703
u317	43	female	340
u318	2	male	36
u319	29	male	133
u320	25	male	961
u321	38	male	488
u322	12	female	332
u323	7	male	920
u324	0	male	606
u325	46	male	260
u326	23	male	909
u327	23	male	989
u328	14	female	62
u329	50	male	779
u330	35	male	697
u331	48	male	287
u332	21	male	425
u333	38	male	367
u334	36	female	848
u335	30	male	188
u336	4	male	900
u337	7	female	364
u338	3	female	504
u339	24	male	97
u340	46	male	374
u341	9	male	674
u342	29	male	934
u343	33	male	968
u344	9	male	71
u345	24	male	517
u346	48	male	804
u347	11	male	49
u348	40	male	215
u349	2	male	892
u350	43	male	349
u351	5	male	661
u352	29	male	970
u353	15	male	147
u354	41	male	977
u355	8	female	896
u356	23	male	722
u357	3	male	161
u358	47	male	764
u359	25	male	569
u360	20	male	233
u361	43	male	108
u362	11	male	767
u363	42	female	464
u364	47	female	596
u365	39	female	329
u366	30	male	29
u367	44	female	115
u368	11	male	753
u369	50	male	997
u370	19	male	722
u371	34	male	490
u372	6	female	708
u373	50	female	876
u374	34	male	584
u375	20	male	248
u376	7	male	220
u377	27	male	623
u378	25	female	492
u379	2	female	575
u380	12	female	221
u381	16	female	850
u382	7	male	328
u383	41	male	186
u384	45	male	769
u385	17	female	449
u386	3	male	235
u387	41	male	142
u388	40	male	287
u389	20	male	818
u390	4	male	274
u391	22	male	237
u392	48	male	961
u393	18	female	298
u394	33	female	829
u395	0	male	153
u396	11	male	363
u397	2	male	920
u398	15	male	266
u399	10	male	833
u400	22	female	89
u401	47	male	855
u402	50	female	835
u403	25	female	794
u404	45	male	292
u405	46	male	649
u406	50	male	692
u407	19	female	698
u408	1	male	945
u409	8	male	385
u410	7	male	804
u411	33	male	625
u412	17	male	370
u413	1	male	992
u414	16	male	933
u415	24	male	598
u416	6	male	288
u417	31	female	943
u418	40	male	690
u419	21	male	880
u420	19	female	679
u421	2	male	467
u422	27	male	584
u423	8	male	750
u424	46	male	779
u425	41	female	971
u426	1	male	807
u427	7	male	211
u428	49	female	668
u429	31	female	25
u430	21	male	200
u431	43	male	251
u432	34	male	457
u433	24	male	777
u434	40	male	893
u435	30	male	696
u436	35	female	2
u437	2	male	756
u438	47	male	155
u439	32	male	435
u440	37	male	745
u441	16	male	49
u442	20	male	338
u443	41	male	297
